concept,severity,db_column,import_csv_key,export_csv_key,static_docs_template_key,create_form_name,create_display_label,display_mode_label,edit_mode_label,edit_form_name,has_discrepancy,discrepancy_summary,final_csv_key,final_ui_label,final_form_name,action
Lead / Opp source,Core,lead_source,opportunity_source,opportunity_source,opportunity_source,lead_source,Lead/Opp Source,Lead/Opp Source,Lead/Opp Source,lead_source,YES,"CSV opportunity_source vs form lead_source; UI label consistent",opportunity_source,Lead/Opp Source,lead_source,"Keep dual: CSV=opportunity_source (alias lead_source); UI=Lead/Opp Source; form=lead_source"
Location / District,Requirement,district_preference,district,district,district,district_preference,District,Location,Location,district_preference,YES,"CSV district; create District; workspace Location; form district_preference",district,Location,district_preference,"Unify UI to Location; CSV stays district (alias district_preference)"
Required type / Property category,Requirement,property_category_preference,property_category_preference,property_category_preference,property_category_preference,property_category_preference,Property category,Required type,Required type,property_category_preference,YES,Create uses Property category; workspace Required type,property_category_preference,Required type,property_category_preference,Unify create+workspace UI label to Required type
Requirement detail / Space form,Requirement,property_type_preference,property_type_preference,property_type_preference,property_type_preference,property_type_preference,Space form,Requirement detail,Requirement detail (edit checkboxes),property_type_preference,YES,"Create Space form; workspace Requirement detail; CSV snake_case key unchanged",property_type_preference,Requirement detail,property_type_preference,Unify UI to Requirement detail; keep CSV key
Building property type,Requirement,property_type / workspace_type,workspace_type,workspace_type,workspace_type,property_type (PropertyTypeSelect),Building property type,— (not shown in workspace RequirementSection),—,property_type?,YES,"Create has Building property type; workspace requirement section dropped it; CSV has workspace_type (and legacy sales_type/usage_type)",workspace_type,Building property type,workspace_type / property_type,Clarify single DB field; expose consistently or remove from create
Workspace type,Requirement,workspace_type,workspace_type,workspace_type,workspace_type,see Building property type,—,—,—,—,YES,Ambiguous vs property_type in create PropertyTypeSelect,workspace_type,Workspace type,workspace_type,Audit DB mapping; one concept only
Capacity / Desks,Requirement,required_capacity_pax,required_capacity_pax,required_capacity_pax,— (static uses desks),required_capacity_pax,Desks,Capacity / Beds / Capacity / no. of persons (role-aware),same as display,required_capacity_pax,YES,"Create Desks; workspace Capacity*; CSV required_capacity_pax; static template desks (legacy hidden)",required_capacity_pax,Capacity,required_capacity_pax,"Unify UI to Capacity (role variants OK); drop desks from static template"
Legacy desks,Legacy,required_capacity_pax,desks,(exportHidden),desks,—,—,—,—,—,YES,Static template still lists desks; live export uses required_capacity_pax,— (remove),—,—,Remove from static template; keep import alias
Area,Requirement,required_area_sqft,required_area_sqft,required_area_sqft,— (static uses area_sqft),required_area_sqft,Area (sq ft),Area / Target area,Area (sq ft) / Target area (sq ft),required_area_sqft,YES,"Static template area_sqft; create Area; buy/sell Target area; display drops (sq ft) in label sometimes",required_area_sqft,Area (sq ft) [lease] / Target area (sq ft) [buy/sell],required_area_sqft,Keep role-aware UI; remove area_sqft from static template
Legacy area_sqft,Legacy,required_area_sqft,area_sqft,(exportHidden),area_sqft,—,—,—,—,—,YES,Static template only,— (remove),—,—,Remove from static template
Budget max,Requirement,budget_max,budget_max,budget_max,— (static uses budget),budget_max,Budget (HKD),Budget,Budget (HKD),budget_max,YES,"Display omits (HKD); create/edit include; CSV budget_max + budget_min; static budget",budget_max,Budget (HKD),budget_max,Unify display label to Budget (HKD); remove legacy budget from static template
Budget min,Requirement,budget_min,budget_min,budget_min,—,—,—,(combined in Budget display),—,—,YES,Import/export has budget_min; UI only edits budget_max,budget_min,Budget min (HKD),budget_min,Either add budget_min to UI or document export-only
Legacy budget,Legacy,budget_max,budget,(exportHidden),budget,—,—,—,—,—,YES,Static template budget vs live budget_max,— (remove),—,—,Remove from static template
Expected close / Est. start,Commercial,expected_close_date,expected_close_date,expected_close_date,— (static uses est_start_date),expected_close_date,Est. start date,Expected close,Expected close,expected_close_date,YES,"Create Est. start date vs header Expected close; same DB field; static est_start_date",expected_close_date,Expected close,expected_close_date,"Unify create label to Expected close; remove est_start_date from static template"
Legacy est_start_date,Legacy,expected_close_date,est_start_date,(exportHidden),est_start_date,—,—,—,—,—,YES,Static template only,— (remove),—,—,Remove from static template
Lost reason,Core,lost_reason,lost_reason,lost_reason,— (missing from static),lost_reason,Lost/Won reason (dynamic),— / commercial context,same when closed,lost_reason,YES,Missing from static docs template; create/edit conditional,lost_reason,Outcome reason (status-dependent),lost_reason,Add to live template (already in export); refresh static docs
Owner,Party,relationship_owner,relationship_owner,relationship_owner,— (missing from static),relationship_owner,Relationship owner (override),Owner,Owner,relationship_owner,YES,"Create Relationship owner (override) vs workspace Owner; missing from static template",relationship_owner,Owner,relationship_owner,Unify create label to Owner; refresh static template
Referrer company,Party,referrer_company_id,referrer_company_id,referrer_company_id,— (missing from static),referrer_company_id,Referrer company,— (hidden if set),— (hidden),referrer_company_id,YES,Create shows; workspace only posts hidden; missing static template,referrer_company_id,Referrer company,referrer_company_id,Show consistently or document create-only; refresh static template
Referrer company name,Party,—,referrer_company_name_en,referrer_company_name_en,—,—,—,—,—,—,NO,CSV lookup-only,referrer_company_name_en,Referrer company name,— (lookup),Keep
Referrer contact,Party,referrer_contact_id,referrer_contact_id,referrer_contact_id,—,— (create form may omit select),—,— (hidden),— (hidden),referrer_contact_id,YES,Export has field; create UI may not expose contact select; workspace hidden,referrer_contact_id,Referrer contact,referrer_contact_id,Align UI presence with CSV
Referrer contact name,Party,—,referrer_contact_name,referrer_contact_name,—,—,—,—,—,—,NO,CSV lookup-only,referrer_contact_name,Referrer contact name,— (lookup),Keep
Target yield,Requirement,target_yield,target_yield,target_yield,target_yield,target_yield,Target yield (%),Target yield,Target yield (%),target_yield,YES,Display drops (%); edit/create include,target_yield,Target yield (%),target_yield,Unify display to Target yield (%)
Funding status,Requirement,funding_status,funding_status,funding_status,funding_status,funding_status,Funding status,Funding status,Funding status,funding_status,NO,Consistent (buy role),funding_status,Funding status,funding_status,None
Move-in date,Requirement,move_in_date,move_in_date,move_in_date,move_in_date,— (create lease uses Est. start not move-in),—,Move-in date,Move-in date,move_in_date,YES,"Workspace lease edit has move_in_date; create lease form uses Est. start (expected_close_date) and omits move_in_date",move_in_date,Move-in date,move_in_date,Add Move-in date to create lease form; keep Expected close separate
Lease term,Requirement,lease_term,lease_term,lease_term,lease_term,lease_term,Lease term,Lease term,Lease term,lease_term,NO,Consistent,lease_term,Lease term,lease_term,None
Special requirement / Requirement summary,Requirement,requirement_summary,requirement_summary,requirement_summary,requirement_summary,requirement_summary,Requirement summary,Special requirement,Special requirement,requirement_summary,YES,Create Requirement summary vs workspace Special requirement,requirement_summary,Special requirement,requirement_summary,Unify create+workspace UI to Special requirement; CSV key unchanged
Internal remarks / Remarks,Notes,remarks,internal_remarks,internal_remarks,internal_remarks,remarks,Internal remarks,Notes section (no field label / body text),Remarks,remarks,YES,"CSV internal_remarks; create Internal remarks; edit Remarks; display unlabeled under Notes",internal_remarks,Internal remarks,remarks,"Unify UI to Internal remarks; CSV=internal_remarks (aliases remarks)"
Waiting for,Situation,waiting_for,waiting_for,waiting_for,— (missing from static),—,—,Waiting for,Waiting for,waiting_for,YES,In live export+workspace; missing create form and static template,waiting_for,Waiting for,waiting_for,Add to create if needed; refresh static template
Next action,Situation,next_action,next_action,next_action,—,—,—,Next action,Next action,next_action,YES,Missing create + static template,next_action,Next action,next_action,Add to create optional; refresh static template
Next action date,Situation,next_action_date,next_action_date,next_action_date,—,—,—,Next action date,Next action date,next_action_date,YES,Missing create + static template,next_action_date,Next action date,next_action_date,Add to create optional; refresh static template
Probability,Derived,—,—,—,—,—,—,Probability,Probability,—,NO,UI-only derived from status; not in CSV,—,Probability,— (derived),Keep display-only
STATIC_TEMPLATE_STALE,Meta,—,(see list),live export keys,docs/import/templates/opportunities.csv outdated,—,—,—,—,—,YES,"Static CSV still has sales_type/usage_type/desks/area_sqft/budget/est_start_date; missing budget_min/budget_max/expected_close_date/required_*/lost_reason/relationship_owner/referrer_*/waiting_for/next_action*",—,—,—,Regenerate docs/import/templates/opportunities.csv from listExportFields('opportunities')
